tag,bin_lo_cycles,pct
L2_8MB,254,0.01831
L2_8MB,258,1.94092
L2_8MB,262,6.78101
L2_8MB,266,10.26001
L2_8MB,270,11.19385
L2_8MB,274,7.23877
L2_8MB,278,2.58179
L2_8MB,282,0.36011
L2_8MB,286,2.19727
L2_8MB,290,4.77295
L2_8MB,294,9.01489
L2_8MB,298,9.55200
L2_8MB,302,12.68311
L2_8MB,306,8.70972
L2_8MB,310,7.04956
L2_8MB,314,3.92456
L2_8MB,318,1.22681
L2_8MB,322,0.48828
L2_8MB,410,0.00610
L2_40MB,254,0.01831
L2_40MB,258,1.95923
L2_40MB,262,6.50635
L2_40MB,266,10.16846
L2_40MB,270,10.96802
L2_40MB,274,6.91528
L2_40MB,278,2.66724
L2_40MB,282,0.28076
L2_40MB,286,2.13013
L2_40MB,290,4.55322
L2_40MB,294,9.38721
L2_40MB,298,9.74121
L2_40MB,302,12.29858
L2_40MB,306,8.53271
L2_40MB,310,6.65283
L2_40MB,314,3.99170
L2_40MB,318,1.10474
L2_40MB,322,0.40894
L2_40MB,442,0.01221
L2_40MB,446,0.03662
L2_40MB,450,0.16479
L2_40MB,454,0.20142
L2_40MB,458,0.10986
L2_40MB,462,0.03662
L2_40MB,466,0.04272
L2_40MB,470,0.03052
L2_40MB,474,0.06714
L2_40MB,478,0.06714
L2_40MB,482,0.07935
L2_40MB,486,0.10986
L2_40MB,490,0.04272
L2_40MB,494,0.06104
L2_40MB,498,0.01831
L2_40MB,538,0.01831
L2_40MB,542,0.02441
L2_40MB,546,0.02441
L2_40MB,550,0.05493
L2_40MB,554,0.06104
L2_40MB,558,0.03052
L2_40MB,562,0.02441
L2_40MB,566,0.02441
L2_40MB,570,0.06104
L2_40MB,574,0.04272
L2_40MB,578,0.04272
L2_40MB,582,0.04272
L2_40MB,586,0.03052
L2_40MB,590,0.03052
L2_40MB,594,0.01221
L2_40MB,598,0.01221
L2_40MB,602,0.00610
L2_40MB,610,0.00610
L2_40MB,630,0.00610
L2_40MB,634,0.00610
L2_40MB,662,0.00610
L2_40MB,666,0.00610
L2_40MB,714,0.00610
L2_40MB,722,0.00610
L2_40MB,742,0.00610
L2_40MB,750,0.00610
L2_40MB,770,0.00610
L2_40MB,858,0.00610
L2_40MB,870,0.00610
L2_40MB,930,0.00610
L2_40MB,1014,0.01221
HBM_2GB,530,0.04883
HBM_2GB,534,0.10986
HBM_2GB,538,0.23193
HBM_2GB,542,0.44556
HBM_2GB,546,0.93384
HBM_2GB,550,1.64795
HBM_2GB,554,2.56958
HBM_2GB,558,3.35693
HBM_2GB,562,2.87476
HBM_2GB,566,1.79443
HBM_2GB,570,1.69678
HBM_2GB,574,1.92261
HBM_2GB,578,2.99683
HBM_2GB,582,3.74146
HBM_2GB,586,4.16260
HBM_2GB,590,3.96118
HBM_2GB,594,3.24707
HBM_2GB,598,2.49023
HBM_2GB,602,1.64185
HBM_2GB,606,1.09253
HBM_2GB,610,0.65308
HBM_2GB,614,0.64087
HBM_2GB,618,0.61035
HBM_2GB,622,0.25635
HBM_2GB,626,0.14038
HBM_2GB,630,0.07324
HBM_2GB,634,0.02441
HBM_2GB,638,0.04272
HBM_2GB,642,0.06104
HBM_2GB,646,0.09155
HBM_2GB,650,0.07324
HBM_2GB,654,0.02441
HBM_2GB,658,0.05493
HBM_2GB,662,0.05493
HBM_2GB,666,0.10376
HBM_2GB,670,0.05493
HBM_2GB,674,0.07324
HBM_2GB,678,0.03052
HBM_2GB,682,0.05493
HBM_2GB,686,0.04272
HBM_2GB,690,0.03052
HBM_2GB,694,0.06104
HBM_2GB,698,0.02441
HBM_2GB,702,0.06104
HBM_2GB,706,0.07324
HBM_2GB,710,0.10376
HBM_2GB,714,0.21362
HBM_2GB,718,0.36011
HBM_2GB,722,0.67139
HBM_2GB,726,1.07422
HBM_2GB,730,1.41602
HBM_2GB,734,1.47705
HBM_2GB,738,1.84326
HBM_2GB,742,2.70996
HBM_2GB,746,3.16162
HBM_2GB,750,3.76587
HBM_2GB,754,3.47900
HBM_2GB,758,3.01514
HBM_2GB,762,2.44141
HBM_2GB,766,2.06909
HBM_2GB,770,2.25220
HBM_2GB,774,2.72217
HBM_2GB,778,2.76489
HBM_2GB,782,2.69165
HBM_2GB,786,2.27051
HBM_2GB,790,1.89209
HBM_2GB,794,1.45874
HBM_2GB,798,1.00708
HBM_2GB,802,0.63477
HBM_2GB,806,0.54932
HBM_2GB,810,0.34790
HBM_2GB,814,0.25635
HBM_2GB,818,0.22583
HBM_2GB,822,0.10986
HBM_2GB,826,0.12207
HBM_2GB,830,0.11597
HBM_2GB,834,0.15259
HBM_2GB,838,0.13428
HBM_2GB,842,0.15259
HBM_2GB,846,0.06714
HBM_2GB,850,0.10376
HBM_2GB,854,0.10376
HBM_2GB,858,0.09155
HBM_2GB,862,0.11597
HBM_2GB,866,0.07935
HBM_2GB,870,0.10376
HBM_2GB,874,0.09155
HBM_2GB,878,0.12817
HBM_2GB,882,0.06104
HBM_2GB,886,0.14038
HBM_2GB,890,0.12817
HBM_2GB,894,0.15259
HBM_2GB,898,0.10986
HBM_2GB,902,0.09155
HBM_2GB,906,0.10376
HBM_2GB,910,0.05493
HBM_2GB,914,0.09155
HBM_2GB,918,0.08545
HBM_2GB,922,0.09155
HBM_2GB,926,0.15259
HBM_2GB,930,0.09155
HBM_2GB,934,0.12817
HBM_2GB,938,0.07935
HBM_2GB,942,0.09155
HBM_2GB,946,0.17700
HBM_2GB,950,0.14038
HBM_2GB,954,0.11597
HBM_2GB,958,0.14038
HBM_2GB,962,0.11597
HBM_2GB,966,0.10376
HBM_2GB,970,0.06714
HBM_2GB,974,0.07324
HBM_2GB,978,0.06714
HBM_2GB,982,0.11597
HBM_2GB,986,0.12207
HBM_2GB,990,0.09155
HBM_2GB,994,0.13428
HBM_2GB,998,0.15259
HBM_2GB,1002,0.13428
HBM_2GB,1006,0.16479
HBM_2GB,1010,0.09766
HBM_2GB,1014,0.17700
HBM_2GB,1018,0.10376
HBM_2GB,1022,0.06714
HBM_2GB,1026,0.09155
HBM_2GB,1030,0.07935
HBM_2GB,1034,0.08545
HBM_2GB,1038,0.04883
HBM_2GB,1042,0.07324
HBM_2GB,1046,0.03052
HBM_2GB,1050,0.07324
HBM_2GB,1054,0.04272
HBM_2GB,1058,0.05493
HBM_2GB,1062,0.03662
HBM_2GB,1066,0.03052
HBM_2GB,1070,0.02441
HBM_2GB,1074,0.06714
HBM_2GB,1078,0.03662
HBM_2GB,1082,0.05493
HBM_2GB,1086,0.02441
HBM_2GB,1090,0.04272
HBM_2GB,1094,0.07935
HBM_2GB,1098,0.03052
HBM_2GB,1102,0.07324
HBM_2GB,1106,0.03052
HBM_2GB,1110,0.05493
HBM_2GB,1114,0.03052
HBM_2GB,1118,0.06104
HBM_2GB,1122,0.05493
HBM_2GB,1126,0.07324
HBM_2GB,1130,0.05493
HBM_2GB,1134,0.04883
HBM_2GB,1138,0.06104
HBM_2GB,1142,0.04883
HBM_2GB,1146,0.06714
HBM_2GB,1150,0.04883
HBM_2GB,1154,0.03662
HBM_2GB,1158,0.07324
HBM_2GB,1162,0.06714
HBM_2GB,1166,0.12817
HBM_2GB,1170,0.08545
HBM_2GB,1174,0.07324
HBM_2GB,1178,0.06714
HBM_2GB,1182,0.07935
HBM_2GB,1186,0.07935
HBM_2GB,1190,0.08545
HBM_2GB,1194,0.04883
HBM_2GB,1198,0.09766
HBM_2GB,1202,0.00610
HBM_2GB,1206,0.05493
HBM_2GB,1210,0.06104
HBM_2GB,1214,0.04883
HBM_2GB,1218,0.03662
HBM_2GB,1222,0.07935
HBM_2GB,1226,0.01221
HBM_2GB,1230,0.01831
HBM_2GB,1234,0.00610
HBM_2GB,1238,0.01221
HBM_2GB,1242,0.00610
HBM_2GB,1246,0.00610
